sales_2023-01-01_2023-05-31 (1)
Inventory qty,day,gross_sales,discounts,returns,ordered_item_quantity
186,2023-01-01,429,0,0,1
179,2023-01-02,5706,0,-109,4
186,2023-01-03,0,0,0,0
177,2023-01-04,429,0,0,1
172,2023-01-05,429,0,0,1
173,2023-01-06,5127,0,-1299,3
172,2023-01-07,2278,-119,0,2
172,2023-01-08,5098,0,0,2
166,2023-01-09,1549,0,-1788,1
165,2023-01-10,429,0,0,1
161,2023-01-11,858,0,0,2
159,2023-01-12,4117,0,0,3
152,2023-01-13,1287,0,0,3
147,2023-01-14,858,0,0,2
147,2023-01-15,429,-15,0,1
146,2023-01-16,12842,0,-6248,8
145,2023-01-17,429,0,0,1
148,2023-01-18,4848,0,0,2
148,2023-01-19,5199,0,-3549,1
148,2023-01-20,9147,0,0,3
148,2023-01-21,1899,0,0,1
148,2023-01-22,858,0,0,2
144,2023-01-23,858,0,-3549,2
143,2023-01-24,0,0,-1978,0
146,2023-01-25,858,0,0,2
144,2023-01-26,2857,0,-1999,3
145,2023-01-27,4498,0,0,2
145,2023-01-28,0,0,0,0
145,2023-01-29,3205,0,0,5
152,2023-01-30,0,0,0,0
151,2023-01-31,6547,0,0,3
151,2023-02-01,3098,0,0,2
212,2023-02-02,2857,0,0,3
194,2023-02-03,1378,0,0,2
209,2023-02-04,0,0,0,0
209,2023-02-05,858,0,0,2
203,2023-02-06,2546,0,0,4
201,2023-02-07,3551,0,0,6
195,2023-02-08,1498,0,0,2
189,2023-02-09,1287,0,0,3
196,2023-02-10,2999,0,0,1
189,2023-02-11,429,0,0,1
189,2023-02-12,0,0,0,0
182,2023-02-13,11581,0,0,9
181,2023-02-14,8171,0,-949,9
173,2023-02-15,3549,0,-11794,1
172,2023-02-16,3374,0,0,6
163,2023-02-17,0,0,0,0
162,2023-02-18,429,0,0,1
162,2023-02-19,858,0,0,2
158,2023-02-20,429,0,0,1
156,2023-02-21,858,0,-429,2
156,2023-02-22,3549,0,0,1
149,2023-02-23,9854,0,-7098,6
151,2023-02-24,239,0,0,1
148,2023-02-25,1299,0,0,1
148,2023-02-26,0,0,0,0
156,2023-02-27,0,0,0,0
144,2023-02-28,9276,0,0,4
140,2023-03-01,1299,0,-6798,1
144,2023-03-02,4148,0,0,2
135,2023-03-03,429,0,0,1
148,2023-03-04,1728,0,0,2
148,2023-03-05,858,0,0,2
147,2023-03-06,8224,-29,-429,6
146,2023-03-07,429,0,-429,1
150,2023-03-08,0,0,-2298,0
151,2023-03-09,429,0,0,1
151,2023-03-10,0,0,0,0
149,2023-03-11,429,0,0,1
149,2023-03-12,4599,0,0,1
147,2023-03-13,5277,0,-5028,3
144,2023-03-14,10095,0,0,5
141,2023-03-15,4599,0,0,1
139,2023-03-16,0,0,-1728,0
139,2023-03-17,3486,0,0,4
138,2023-03-18,429,0,0,1
138,2023-03-19,1586,0,0,4
136,2023-03-20,1378,0,-429,2
135,2023-03-21,8926,0,0,4
136,2023-03-22,5227,-200,0,3
137,2023-03-23,6897,0,-9695,3
136,2023-03-24,4598,0,0,2
132,2023-03-25,2428,0,0,2
132,2023-03-26,0,0,0,0
130,2023-03-27,638,0,-429,2
129,2023-03-28,2778,0,0,2
136,2023-03-29,9075,0,-2148,5
140,2023-03-30,4605,0,0,5
136,2023-03-31,949,0,-4498,1
117,2023-04-01,2857,0,0,3
116,2023-04-02,429,0,0,1
117,2023-04-03,4507,-100,0,3
115,2023-04-04,728,0,0,2
115,2023-04-05,0,0,-429,0
118,2023-04-06,429,0,-479,1
116,2023-04-07,3328,0,0,2
116,2023-04-08,0,0,0,0
116,2023-04-09,0,0,0,0
116,2023-04-10,429,0,0,1
124,2023-04-11,858,0,-429,2
122,2023-04-12,1378,0,0,2
118,2023-04-13,14846,0,-858,4
115,2023-04-14,2299,0,0,1
115,2023-04-15,3698,-46.07,0,2
115,2023-04-16,0,0,0,0
114,2023-04-17,3586,0,-429,4
114,2023-04-18,0,0,-2728,0
114,2023-04-19,10625,-14.7,-5298,5
132,2023-04-20,6725,0,-429,5
133,2023-04-21,1299,0,-429,1
129,2023-04-22,2728,0,0,2
129,2023-04-23,2299,0,-429,1
132,2023-04-24,429,0,-13496,1
131,2023-04-25,3428,0,-2999,2
132,2023-04-26,0,0,0,0
137,2023-04-27,429,0,0,1
134,2023-04-28,3428,0,0,2
132,2023-04-29,4848,0,0,2
132,2023-04-30,4598,0,0,2
132,2023-05-01,3757,0,-2328,3
129,2023-05-02,9597,0,-7298,3
152,2023-05-03,8026,0,-2299,4
129,2023-05-04,4286,0,0,4
206,2023-05-05,5643,0,-3057,7
196,2023-05-06,1287,0,0,3
194,2023-05-07,1978,-15,0,2
194,2023-05-08,4945,0,0,5
189,2023-05-09,3549,0,0,1
178,2023-05-10,2728,0,0,2
176,2023-05-11,0,0,0,0
174,2023-05-12,858,0,0,2
170,2023-05-13,5027,0,0,3
168,2023-05-14,828,0,0,2
168,2023-05-15,1027,0,0,3
163,2023-05-16,1728,0,0,2
160,2023-05-17,7298,0,-5199,2
160,2023-05-18,410,0,0,1
160,2023-05-19,858,0,0,2
160,2023-05-20,2299,0,0,1
160,2023-05-21,1299,0,0,1
160,2023-05-22,1287,0,0,3
160,2023-05-23,1078,0,-429,3
168,2023-05-24,0,0,-429,0
166,2023-05-25,0,0,0,0
165,2023-05-26,0,0,0,0
162,2023-05-27,0,0,0,0
161,2023-05-28,0,0,0,0
161,2023-05-29,3428,-666.66,-7298,2
160,2023-05-30,858,0,0,2
159,2023-05-31,2299,0,0,1
